Mode       Threads    Size       Cycles          CacheMiss       CtxSwitch      
3          1          1024       45764588        737068          11             
3          2          1024       42173686        694599          11             
3          3          1024       44456803        688163          10             
3          4          1024       53494208        744233          11             
3          1          4096       43431137        684437          11             
3          2          4096       44049079        717500          11             
3          3          4096       43747135        725480          13             
3          4          4096       42473481        696533          10             
3          1          16384      43199409        695418          11             
3          2          16384      54916924        775444          12             
3          3          16384      43101071        692358          11             
3          4          16384      40945312        725757          11             
3          1          65536      46594167        729660          12             
3          2          65536      41174770        713052          13             
3          3          65536      50171139        721353          12             
3          4          65536      42085129        765523          10             
