Mode       Threads    Size       Cycles          CacheMiss       CtxSwitch      
3          1          1024       49845556        723178          12             
3          2          1024       51842344        748843          14             
3          3          1024       48744587        712385          13             
3          4          1024       50938776        777611          11             
3          1          4096       51098879        757394          10             
3          2          4096       57590527        711347          14             
3          3          4096       50266538        760383          13             
3          4          4096       44077337        689010          11             
3          1          16384      46841003        717600          13             
3          2          16384      53966919        706944          13             
3          3          16384      53410326        789359          14             
3          4          16384      48569882        741017          11             
3          1          65536      54138696        758797          18             
3          2          65536      50571170        718349          16             
3          3          65536      51279056        746422          16             
3          4          65536      51645178        763521          15             
